Id,NumOfPro,Loc,Time,Today,Error
02130036,1,"[[43.77925, 11.24626], [47.36667, 8.55]]","[[1481, 1481], [None, 2021]]",True,
02140702,4,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [43.77925, 11.24626], [43.77925, 11.24626], [43.77925, 11.24626]]","[[1481, 1481], [1501, 1550], [1708, 1765], [1714, 1861], [1885, 2021]]",True,
02141203,2,"[[43.77925, 11.24626], [41.82399, -71.41283], [41.82399, -71.41283]]","[[1481, 1481], [1907, 1948], [1948, 2021]]",True,
02140668,1,"[[43.77925, 11.24626], [53.55073, 9.99302]]","[[1481, 1481], [None, 2021]]",True,
02140701,3,"[[43.77925, 11.24626], [43.77925, 11.24626], [43.77925, 11.24626], [43.77925, 11.24626]]","[[1481, 1481], [1501, 1600], [1714, 1861], [1861, 2021]]",True,
02141556,3,"[[43.77925, 11.24626], [43.77925, 11.24626], [43.3085, 13.31036], [41.7031, -86.23917]]","[[1481, 1481], [1899, 1899], [1899, 1902], [1902, 2021]]",True,
02140623,4,"[[43.77925, 11.24626], [48.69096, 9.14062], [45.15533665, 10.90486405], [44.05507, 5.04813], [44.05507, 5.04813]]","[[1481, 1481], [1481, None], [1659, 1660], [1683, 1757], [1757, 2021]]",True,
02141180,4,"[[43.77925, 11.24626], [None, None], [None, None], [52.1994445, 0.1220898930123415], [51.50853, -0.12574]]","[[1481, 1481], [1801, 2000], [1850, 1950], [1896, 1921], [1921, 2021]]",True,
02141614,4,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [42.26259, -71.80229], [42.25842, -72.57453], [42.25842, -72.57453]]","[[1481, 1481], [1481, 1600], [1880, 1929], [None, 1974], [1974, 2021]]",True,
02141350,3,"[[43.77925, 11.24626], [52.1994445, 0.1220898930123415], [51.85, -1.36667], [52.2, 0.11667]]","[[1481, 1481], [1701, 1800], [1717, 1804], [1804, 2021]]",True,
02140616,2,"[[43.77925, 11.24626], [55.67594, 12.56553], [55.67594, 12.56553]]","[[1481, 1481], [1703, 1785], [1792, 2021]]",True,
02141622,4,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [43.77925, 11.24626], [39.29038, -76.61219], [39.29038, -76.61219]]","[[1481, 1481], [None, None], [1897, 1910], [1910, 1931], [1931, 2021]]",True,
02141620,3,"[[43.77925, 11.24626], [43.77925, 11.24626], [39.29038, -76.61219], [39.29038, -76.61219]]","[[1481, 1481], [1897, 1910], [1910, 1931], [1931, 2021]]",True,
02141625,1,"[[43.77925, 11.24626], [40.85216, 14.26811]]","[[1481, 1481], [1736, 1950]]",False,
