Id,holdingInstitution,NumOfProv,areaCode,placeCountry,placeName,placeLat,placeLon,timeStart,timeEnd,timeCentury,Today,locationName,locationLat,locationLon,locationType,MEIlink,startType,endType,locationLatFilled,locationLonFilled,timeStartFilled,timeEndFilled
02130036,"{u'country': u'CH', u'short': u'Zürich ZB', u'name': u'Zentralbibliothek Zürich '}",2,"[e-it, e-sz]","[Italy, Switzerland]","[Florence, Zurich]","[43.77925, 47.36667]","[11.24626, 8.55]","[1481, NoInfo]","[1481, 2021]","[[15], NoInfo]",True,"[Italy, Switzerland]","[43.77925, 47.36667]","[11.24626, 8.55]","[accurate, accurate]",https://data.cerl.org/mei/02130036,"[accurate, NoInfo]","[accurate, accurate]","[43.77925, 47.36667]","[11.24626, 8.55]","[1481, 1481]","[1481, 2021]"
02011876,"{u'country': u'FR', u'short': u'Paris BN', u'name': u'Paris, Bibliothèque nationale de France'}",4,"[e-it, e-it, e-it, e-fr]","[Italy, Italy, Italy, France]","[Florence, Venice, Venice, Paris]","[43.77925, 45.4389, 45.4389, 48.85341]","[11.24626, 12.33092, 12.33092, 2.3488]","[1481, NoInfo, 1701, 1797]","[1481, 1797, 1800, 2021]","[[15], [15, 16, 17, 18], [18], [18]]",True,"[Italy, Italy, Italy, France]","[43.77925, 45.4389, 45.4389, 48.85341]","[11.24626, 12.33092, 12.33092, 2.3488]","[accurate, accurate, accurate, accurate]",https://data.cerl.org/mei/02011876,"[accurate, NoInfo, accurate, accurate]","[accurate, accurate, approx, accurate]","[43.77925, 45.4389, 45.4389, 48.85341]","[11.24626, 12.33092, 12.33092, 2.3488]","[1481, 1481, 1701, 1797]","[1481, 1797, 1800, 2021]"
02013851,"{u'country': u'GR', u'short': u'Athens, Laskaridis', u'name': u'Athens, Aikaterini Laskaridis Foundation'}",7,"[e-it, e-it, NoInfo, e-uk-en, e-uk-en, e-gr, e-gr]","[Italy, Italy, NoInfo, United Kingdom, United Kingdom, Greece, Greece]","[Florence, Italy, NoInfo, Maldon, London, Athens, Athens]","[43.77925, 42.83333, NoInfo, 51.7311, 51.50853, 37.98376, 37.98376]","[11.24626, 12.83333, NoInfo, 0.67463, -0.12574, 23.72784, 23.72784]","[1481, 1501, 1800, 1940, 2000, 2015, 2015]","[1481, 1600, 1900, 1963, 2001, 2015, 2021]","[[15], [16], [18, 19], [20], [20, 21], [21], [21]]",True,"[Italy, Italy, NoInfo, United Kingdom, United Kingdom, Greece, Greece]","[43.77925, 42.83333, NoInfo, 51.7311, 51.50853, 37.98376, 37.98376]","[11.24626, 12.83333, NoInfo, 0.67463, -0.12574, 23.72784, 23.72784]","[accurate, accurate, NoInfo, accurate, accurate, accurate, accurate]",https://data.cerl.org/mei/02013851,"[accurate, accurate, approx, accurate, approx, accurate, accurate]","[accurate, approx, approx, accurate, accurate, accurate, accurate]","[43.77925, 42.83333, 42.83333, 51.7311, 51.50853, 37.98376, 37.98376]","[11.24626, 12.83333, 12.83333, 0.67463, -0.12574, 23.72784, 23.72784]","[1481, 1501, 1800, 1940, 2000, 2015, 2015]","[1481, 1600, 1900, 1963, 2001, 2015, 2021]"
02141340,"{u'short': u'Historical Copy', u'name': u'Historical Copy'}",2,"[e-it, e-it]","[Italy, Italy]","[Florence, Genoa]","[43.77925, 44.40478]","[11.24626, 8.94439]","[1481, 1765]","[1481, 1945]","[[15], [18, 19, 20]]",False,"[Italy, Italy]","[43.77925, 44.40478]","[11.24626, 8.94439]","[accurate, accurate]",https://data.cerl.org/mei/02141340,"[accurate, accurate]","[accurate, accurate]","[43.77925, 44.40478]","[11.24626, 8.94439]","[1481, 1765]","[1481, 1945]"
02140781,"{u'country': u'IT', u'short': u'Firenze, Marucelliana', u'name': u'Firenze, Biblioteca Marucelliana'}",5,"[e-it, e-it, e-it, NoInfo, e-it]","[Italy, NoInfo, NoInfo, NoInfo, Italy]","[Florence, NoInfo, NoInfo, NoInfo, Florence]","[43.77925, NoInfo, NoInfo, NoInfo, 43.77925]","[11.24626, NoInfo, NoInfo, NoInfo, 11.24626]","[1481, 1481, 1625, 1701, 1752]","[1481, 1600, 1703, 1800, 2021]","[[15], [15, 16], [17, 18], [18], [18]]",True,"[Italy, Italy, Italy, NoInfo, Italy]","[43.77925, 42.83333, 42.83333, NoInfo, 43.77925]","[11.24626, 12.83333, 12.83333, NoInfo, 11.24626]","[accurate, approx, approx, NoInfo, accurate]",https://data.cerl.org/mei/02140781,"[accurate, accurate, accurate, accurate, accurate]","[accurate, approx, accurate, approx, accurate]","[43.77925, 42.83333, 42.83333, 42.83333, 43.77925]","[11.24626, 12.83333, 12.83333, 12.83333, 11.24626]","[1481, 1481, 1625, 1701, 1752]","[1481, 1600, 1703, 1800, 2021]"
02141376,"{u'country': u'IT', u'short': u'Firenze Horne', u'name': u'Firenze, Biblioteca della Fondazione Herbert P. Horne'}",3,"[e-it, e-it, e-it]","[Italy, Italy, Italy]","[Florence, Florence, Florence]","[43.77925, 43.77925, 43.77925]","[11.24626, 11.24626, 11.24626]","[1481, 1894, 1921]","[1481, 1916, 2021]","[[15], [19, 20], [20]]",True,"[Italy, Italy, Italy]","[43.77925, 43.77925, 43.77925]","[11.24626, 11.24626, 11.24626]","[accurate, accurate, accurate]",https://data.cerl.org/mei/02141376,"[accurate, accurate, accurate]","[accurate, accurate, accurate]","[43.77925, 43.77925, 43.77925]","[11.24626, 11.24626, 11.24626]","[1481, 1894, 1921]","[1481, 1916, 2021]"
02141406,"{u'country': u'IT', u'short': u'Castiglione del Terziere, Biblioteca del Castello', u'name': u'Castiglione del Terziere, Biblioteca del Castello'}",4,"[e-it, e-it, e-be, e-it]","[Italy, NoInfo, Belgium, Italy]","[Florence, NoInfo, Brussels, Castiglione]","[43.77925, NoInfo, 50.85045, 44.29546]","[11.24626, NoInfo, 4.34878, 9.99271]","[1481, 1481, 1850, 1929]","[1481, 1700, 1890, 2012]","[[15], [15, 16, 17], [19], [20, 21]]",False,"[Italy, Italy, Belgium, Italy]","[43.77925, 42.83333, 50.85045, 44.29546]","[11.24626, 12.83333, 4.34878, 9.99271]","[accurate, approx, accurate, accurate]",https://data.cerl.org/mei/02141406,"[accurate, accurate, approx, accurate]","[accurate, approx, accurate, accurate]","[43.77925, 42.83333, 50.85045, 44.29546]","[11.24626, 12.83333, 4.34878, 9.99271]","[1481, 1481, 1850, 1929]","[1481, 1700, 1890, 2012]"
02019494,"{u'country': u'IT', u'short': u'Milano N', u'name': u'Milano, Biblioteca Nazionale Braidense'}",4,"[e-it, NoInfo, NoInfo, e-it]","[Italy, NoInfo, NoInfo, Italy]","[Florence, NoInfo, NoInfo, Milan]","[43.77925, NoInfo, NoInfo, 45.46427]","[11.24626, NoInfo, NoInfo, 9.18951]","[1481, 1501, NoInfo, 1800]","[1481, 1600, NoInfo, 2021]","[[15], [16], NoInfo, [18]]",True,"[Italy, NoInfo, NoInfo, Italy]","[43.77925, NoInfo, NoInfo, 45.46427]","[11.24626, NoInfo, NoInfo, 9.18951]","[accurate, NoInfo, NoInfo, accurate]",https://data.cerl.org/mei/02019494,"[accurate, accurate, NoInfo, approx]","[accurate, approx, NoInfo, accurate]","[43.77925, 43.77925, 43.77925, 45.46427]","[11.24626, 11.24626, 11.24626, 9.18951]","[1481, 1501, 1501, 1800]","[1481, 1600, 1600, 2021]"
02141444,"{u'country': u'IT', u'short': u'Palermo R', u'name': u'Biblioteca Centrale della Regione Siciliana ""Alberto Bombace""'}",6,"[e-it, e-it, e-it, e-it, e-it, e-it]","[Italy, Italy, NoInfo, NoInfo, NoInfo, Italy]","[Florence, Florence, NoInfo, NoInfo, NoInfo, Palermo]","[43.77925, 43.77925, NoInfo, NoInfo, NoInfo, 38.13205]","[11.24626, 11.24626, NoInfo, NoInfo, NoInfo, 13.33561]","[1481, 1481, 1481, 1481, 1501, 1788]","[1481, 1500, 1600, 1600, 1600, 2021]","[[15], [15], [15, 16], [15, 16], [16], [18]]",True,"[Italy, Italy, Italy, Italy, Italy, Italy]","[43.77925, 43.77925, 42.83333, 42.83333, 42.83333, 38.13205]","[11.24626, 11.24626, 12.83333, 12.83333, 12.83333, 13.33561]","[accurate, accurate, approx, approx, approx, accurate]",https://data.cerl.org/mei/02141444,"[accurate, accurate, accurate, accurate, accurate, accurate]","[accurate, approx, approx, approx, approx, accurate]","[43.77925, 43.77925, 42.83333, 42.83333, 42.83333, 38.13205]","[11.24626, 11.24626, 12.83333, 12.83333, 12.83333, 13.33561]","[1481, 1481, 1481, 1481, 1501, 1788]","[1481, 1500, 1600, 1600, 1600, 2021]"
02141466,"{u'country': u'US', u'short': u'Harvard Houghton', u'name': u'Cambridge MA, Harvard Library, Houghton Library'}",3,"[e-it, n-us-ma, n-us-ma]","[Italy, United States, United States]","[Florence, Cambridge, Cambridge]","[43.77925, 42.3751, 42.3751]","[11.24626, -71.10561, -71.10561]","[1481, 1950, 1984]","[1481, 1984, 2021]","[[15], [20], [20]]",True,"[Italy, United States, United States]","[43.77925, 42.3751, 42.3751]","[11.24626, -71.10561, -71.10561]","[accurate, accurate, accurate]",https://data.cerl.org/mei/02141466,"[accurate, approx, accurate]","[accurate, accurate, accurate]","[43.77925, 42.3751, 42.3751]","[11.24626, -71.10561, -71.10561]","[1481, 1950, 1984]","[1481, 1984, 2021]"
