Id,AreaName,PlaceName,Lon,Lat,Start,End,LocType,StartType,EndType
02130036,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02130036,Switzerland,Zurich,8.55,47.36667,1481,2021,accurate,NoInfo,accurate
02011876,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02011876,Italy,Venice,12.33092,45.4389,1481,1797,accurate,NoInfo,accurate
02011876,Italy,Venice,12.33092,45.4389,1701,1800,accurate,accurate,approx
02011876,France,Paris,2.3488,48.85341,1797,2021,accurate,accurate,accurate
02013851,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02013851,Italy,Italy,12.83333,42.83333,1501,1600,accurate,accurate,approx
02013851,NoInfo,NoInfo,12.83333,42.83333,1800,1900,NoInfo,approx,approx
02013851,United Kingdom,Maldon,0.67463,51.7311,1940,1963,accurate,accurate,accurate
02013851,United Kingdom,London,-0.12574,51.50853,2000,2001,accurate,approx,accurate
02013851,Greece,Athens,23.72784,37.98376,2015,2015,accurate,accurate,accurate
02013851,Greece,Athens,23.72784,37.98376,2015,2021,accurate,accurate,accurate
02141340,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141340,Italy,Genoa,8.94439,44.40478,1765,1945,accurate,accurate,accurate
02140781,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140781,Italy,NoInfo,12.83333,42.83333,1481,1600,approx,accurate,approx
02140781,Italy,NoInfo,12.83333,42.83333,1625,1703,approx,accurate,accurate
02140781,NoInfo,NoInfo,12.83333,42.83333,1701,1800,NoInfo,accurate,approx
02140781,Italy,Florence,11.24626,43.77925,1752,2021,accurate,accurate,accurate
02141376,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141376,Italy,Florence,11.24626,43.77925,1894,1916,accurate,accurate,accurate
02141376,Italy,Florence,11.24626,43.77925,1921,2021,accurate,accurate,accurate
02141406,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141406,Italy,NoInfo,12.83333,42.83333,1481,1700,approx,accurate,approx
02141406,Belgium,Brussels,4.34878,50.85045,1850,1890,accurate,approx,accurate
02141406,Italy,Castiglione,9.99271,44.29546,1929,2012,accurate,accurate,accurate
02019494,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02019494,NoInfo,NoInfo,11.24626,43.77925,1501,1600,NoInfo,accurate,approx
02019494,NoInfo,NoInfo,11.24626,43.77925,1501,1600,NoInfo,NoInfo,NoInfo
02019494,Italy,Milan,9.18951,45.46427,1800,2021,accurate,approx,accurate
02141444,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141444,Italy,Florence,11.24626,43.77925,1481,1500,accurate,accurate,approx
02141444,Italy,NoInfo,12.83333,42.83333,1481,1600,approx,accurate,approx
02141444,Italy,NoInfo,12.83333,42.83333,1481,1600,approx,accurate,approx
02141444,Italy,NoInfo,12.83333,42.83333,1501,1600,approx,accurate,approx
02141444,Italy,Palermo,13.33561,38.13205,1788,2021,accurate,accurate,accurate
02141466,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141466,United States,Cambridge,-71.10561,42.3751,1950,1984,accurate,approx,accurate
02141466,United States,Cambridge,-71.10561,42.3751,1984,2021,accurate,accurate,accurate
02013814,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02013814,Italy,NoInfo,12.83333,42.83333,1481,1500,approx,accurate,approx
02013814,United Kingdom,Euston,0.78599,52.37924,1781,1815,accurate,accurate,accurate
02013814,United Kingdom,London,-0.12574,51.50853,1815,1825,accurate,accurate,accurate
02013814,United Kingdom,London,-0.12574,51.50853,1825,1866,accurate,accurate,accurate
02013814,United Kingdom,London,-0.12574,51.50853,1867,1867,accurate,accurate,accurate
02013814,United Kingdom,Dunecht,-2.40945,57.1718,1867,1887,accurate,accurate,accurate
02013814,United States,Boston,-71.05977,42.35843,1887,1903,accurate,accurate,accurate
02013814,United States,Boston,-71.05977,42.35843,1903,2021,accurate,accurate,accurate
02141160,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141160,Italy,NoInfo,12.83333,42.83333,1481,1481,approx,NoInfo,NoInfo
02141160,United Kingdom,Althorp,-1.00095,52.28107,1792,1481,accurate,accurate,NoInfo
02141160,United Kingdom,London,-0.12574,51.50853,1757,1829,accurate,accurate,accurate
02141160,United Kingdom,London,-0.12574,51.50853,1829,1829,accurate,accurate,accurate
02141160,United Kingdom,London,-0.12574,51.50853,1829,2021,accurate,accurate,accurate
02141529,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141529,Germany,Schweinfurt,10.22175,50.04937,1960,2000,accurate,accurate,approx
02141529,United States,New York,-74.00597,40.71427,1996,2021,accurate,accurate,accurate
02140753,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140753,Italy,Camaldoli,11.82031,43.79359,1854,1856,accurate,accurate,accurate
02140753,Italy,Poppi,11.76642,43.72123,1856,2021,accurate,accurate,accurate
02140643,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140643,Italy,NoInfo,12.83333,42.83333,1481,1500,approx,accurate,approx
02140643,Italy,NoInfo,12.83333,42.83333,1481,1500,approx,accurate,approx
02140643,Italy,Capaccio,15.07981,40.42435,1481,1504,accurate,accurate,accurate
02140643,Vatican City,Vatican City,12.4533,41.90225,1504,1504,accurate,accurate,NoInfo
02140643,France,Paris,2.3488,48.85341,1797,2021,accurate,accurate,accurate
02140635,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140635,Italy,NoInfo,12.83333,42.83333,1481,1500,approx,accurate,approx
02140635,Italy,NoInfo,12.83333,42.83333,1481,1500,approx,accurate,approx
02140635,Greece,Rhodes,28.22199,36.43556,1481,1503,accurate,accurate,accurate
02140635,France,Paris,2.3488,48.85341,1792,2021,accurate,accurate,accurate
02140761,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140761,Italy,NoInfo,12.83333,42.83333,1481,1600,approx,accurate,approx
02140761,Italy,NoInfo,12.83333,42.83333,1481,1600,approx,accurate,approx
02140761,Italy,Rome,12.51133,41.89193,1481,2021,accurate,NoInfo,accurate
02140633,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140633,Italy,NoInfo,12.83333,42.83333,1481,1500,approx,accurate,approx
02140633,Italy,NoInfo,12.83333,42.83333,1481,1600,approx,accurate,approx
02140633,Italy,Florence,11.24626,43.77925,1601,1800,accurate,accurate,approx
02140633,France,Paris,2.3488,48.85341,1818,2021,accurate,accurate,accurate
02140985,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140985,NoInfo,Europe,9.14062,48.69096,1481,1550,accurate,accurate,approx
02140985,NoInfo,NoInfo,9.14062,48.69096,1700,1800,NoInfo,approx,approx
02140985,France,Paris,2.3488,48.85341,1845,1934,accurate,accurate,accurate
02140985,France,Paris,2.3488,48.85341,1935,2021,accurate,accurate,accurate
02140771,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140771,Italy,NoInfo,12.83333,42.83333,1481,1600,approx,accurate,approx
02140771,Italy,NoInfo,12.83333,42.83333,1481,1600,approx,accurate,approx
02140771,Italy,Florence,11.24626,43.77925,1501,1600,accurate,accurate,approx
02140771,Italy,Rome,12.51133,41.89193,1754,1883,accurate,accurate,accurate
02140771,Italy,Rome,12.51133,41.89193,1883,2021,accurate,accurate,accurate
02141568,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141568,Italy,NoInfo,12.83333,42.83333,1481,1500,approx,accurate,approx
02141568,Italy,NoInfo,12.83333,42.83333,1481,1600,approx,accurate,approx
02141568,Italy,Florence,11.24626,43.77925,1481,1529,accurate,accurate,accurate
02141568,Italy,Florence,11.24626,43.77925,1794,1845,accurate,accurate,accurate
02141568,Italy,Florence,11.24626,43.77925,1805,1868,accurate,accurate,accurate
