Id,start_area_name,start_place_name,end_area_name,end_place_name,start_time,end_time,start_lon,start_lat,end_lon,end_lat
2130036,Italy,Florence, Switzerland, Zurich,1481, 1481,11.24626,43.77925, 8.55, 47.36667
2011876,Italy,Florence, France, Paris,1481, 1797,11.24626,43.77925, 2.3488, 48.85341
2013851,Italy,Florence, Greece, Athens,1481, 2015,11.24626,43.77925, 23.72784, 37.98376
2141340,Italy,Florence, Italy, Genoa,1481, 1765,11.24626,43.77925, 8.94439, 44.40478
2140781,Italy,Florence, Italy, Florence,1481, 1752,11.24626,43.77925, 11.24626, 43.77925
2141376,Italy,Florence, Italy, Florence,1481, 1921,11.24626,43.77925, 11.24626, 43.77925
2141406,Italy,Florence, Italy, Castiglione,1481, 1929,11.24626,43.77925, 9.99271, 44.29546
2019494,Italy,Florence, Italy, Milan,1481, 1800,11.24626,43.77925, 9.18951, 45.46427
2141444,Italy,Florence, Italy, Palermo,1481, 1788,11.24626,43.77925, 13.33561, 38.13205
2141466,Italy,Florence, United States, Cambridge,1481, 1984,11.24626,43.77925, -71.10561, 42.3751
2013814,Italy,Florence, United States, Boston,1481, 1903,11.24626,43.77925, -71.05977, 42.35843
2141160,Italy,Florence, United Kingdom, London,1481, 1829,11.24626,43.77925, -0.12574, 51.50853
2141529,Italy,Florence, United States, New York,1481, 1996,11.24626,43.77925, -74.00597, 40.71427
2140753,Italy,Florence, Italy, Poppi,1481, 1856,11.24626,43.77925, 11.76642, 43.72123
2140643,Italy,Florence, France, Paris,1481, 1797,11.24626,43.77925, 2.3488, 48.85341
2140635,Italy,Florence, France, Paris,1481, 1792,11.24626,43.77925, 2.3488, 48.85341
2140761,Italy,Florence, Italy, Rome,1481, 1481,11.24626,43.77925, 12.51133, 41.89193
2140633,Italy,Florence, France, Paris,1481, 1818,11.24626,43.77925, 2.3488, 48.85341
2140985,Italy,Florence, France, Paris,1481, 1935,11.24626,43.77925, 2.3488, 48.85341
2140771,Italy,Florence, Italy, Rome,1481, 1883,11.24626,43.77925, 12.51133, 41.89193
2141568,Italy,Florence, Italy, NoInfo,1481, 1949,11.24626,43.77925, 12.83333, 42.83333
2141271,Italy,Florence, United States, Los Angeles,1481, 1963,11.24626,43.77925, -118.24368, 34.05223
2141268,Italy,Florence, United States, Williamstown,1481, 1923,11.24626,43.77925, -73.20372, 42.71202
2141017,Italy,Florence, Italy, Florence,1481, 1810,11.24626,43.77925, 11.24626, 43.77925
2141530,Italy,Florence, Italy, Venice,1481, 1807,11.24626,43.77925, 12.33265, 45.43713
2141555,Italy,Florence, United States, Urbana,1481, 1965,11.24626,43.77925, -88.20727, 40.11059
2140612,Italy,Florence, Belgium, Brussels,1481, 1481,11.24626,43.77925, 4.34878, 50.85045
2140613,Italy,Florence, Belgium, Brussels,1481, 1963,11.24626,43.77925, 4.34878, 50.85045
2141605,Italy,Florence, Russia, St Petersburg,1481, 1795,11.24626,43.77925, 30.31413, 59.93863
2141250,Italy,Florence, Netherlands, Gemeente Amsterdam,1481, 1981,11.24626,43.77925, 4.89856, 52.37302
