id,lat1,lat2,lon1,lon2,time1,time2,stay,area1,area2,place1,place2,auto_id
2130036,43.7793,47.3667,11.2463,8.55,1481,1481,0,Italy,Switzerland,Florence,"Zurich
",1
2011876,43.7793,45.4389,11.2463,12.3309,1481,1481,0,Italy,Italy,Florence,"Venice
",2
2011876,45.4389,45.4389,12.3309,12.3309,1797,1701,-96,Italy,Italy,Venice,"Venice
",3
2011876,45.4389,48.8534,12.3309,2.3488,1800,1797,-3,Italy,France,Venice,"Paris
",4
2013851,43.7793,42.8333,11.2463,12.8333,1481,1501,20,Italy,Italy,Florence,"Italy
",5
2013851,42.8333,42.8333,12.8333,12.8333,1600,1800,200,Italy,NoInfo,Italy,"NoInfo
",6
2013851,42.8333,51.7311,12.8333,0.67463,1900,1940,40,NoInfo,United Kingdom,NoInfo,"Maldon
",7
2013851,51.7311,51.5085,0.67463,-0.12574,1963,2000,37,United Kingdom,United Kingdom,Maldon,"London
",8
2013851,51.5085,37.9838,-0.12574,23.7278,2001,2015,14,United Kingdom,Greece,London,"Athens
",9
2013851,37.9838,37.9838,23.7278,23.7278,2015,2015,0,Greece,Greece,Athens,"Athens
",10
2141340,43.7793,44.4048,11.2463,8.94439,1481,1765,284,Italy,Italy,Florence,"Genoa
",11
2140781,43.7793,42.8333,11.2463,12.8333,1481,1481,0,Italy,Italy,Florence,"NoInfo
",12
2140781,42.8333,42.8333,12.8333,12.8333,1600,1625,25,Italy,Italy,NoInfo,"NoInfo
",13
2140781,42.8333,42.8333,12.8333,12.8333,1703,1701,-2,Italy,NoInfo,NoInfo,"NoInfo
",14
2140781,42.8333,43.7793,12.8333,11.2463,1800,1752,-48,NoInfo,Italy,NoInfo,"Florence
",15
2141376,43.7793,43.7793,11.2463,11.2463,1481,1894,413,Italy,Italy,Florence,"Florence
",16
2141376,43.7793,43.7793,11.2463,11.2463,1916,1921,5,Italy,Italy,Florence,"Florence
",17
2141406,43.7793,42.8333,11.2463,12.8333,1481,1481,0,Italy,Italy,Florence,"NoInfo
",18
2141406,42.8333,50.8504,12.8333,4.34878,1700,1850,150,Italy,Belgium,NoInfo,"Brussels
",19
2141406,50.8504,44.2955,4.34878,9.99271,1890,1929,39,Belgium,Italy,Brussels,"Castiglione
",20
2019494,43.7793,43.7793,11.2463,11.2463,1481,1501,20,Italy,NoInfo,Florence,"NoInfo
",21
2019494,43.7793,43.7793,11.2463,11.2463,1600,1501,-99,NoInfo,NoInfo,NoInfo,"NoInfo
",22
2019494,43.7793,45.4643,11.2463,9.18951,1600,1800,200,NoInfo,Italy,NoInfo,"Milan
",23
2141444,43.7793,43.7793,11.2463,11.2463,1481,1481,0,Italy,Italy,Florence,"Florence
",24
2141444,43.7793,42.8333,11.2463,12.8333,1500,1481,-19,Italy,Italy,Florence,"NoInfo
",25
2141444,42.8333,42.8333,12.8333,12.8333,1600,1481,-119,Italy,Italy,NoInfo,"NoInfo
",26
2141444,42.8333,42.8333,12.8333,12.8333,1600,1501,-99,Italy,Italy,NoInfo,"NoInfo
",27
2141444,42.8333,38.132,12.8333,13.3356,1600,1788,188,Italy,Italy,NoInfo,"Palermo
",28
2141466,43.7793,42.3751,11.2463,-71.1056,1481,1950,469,Italy,United States,Florence,"Cambridge
",29
2141466,42.3751,42.3751,-71.1056,-71.1056,1984,1984,0,United States,United States,Cambridge,"Cambridge
",30
2013814,43.7793,42.8333,11.2463,12.8333,1481,1481,0,Italy,Italy,Florence,"NoInfo
",31
2013814,42.8333,52.3792,12.8333,0.78599,1500,1781,281,Italy,United Kingdom,NoInfo,"Euston
",32
2013814,52.3792,51.5085,0.78599,-0.12574,1815,1815,0,United Kingdom,United Kingdom,Euston,"London
",33
2013814,51.5085,51.5085,-0.12574,-0.12574,1825,1825,0,United Kingdom,United Kingdom,London,"London
",34
2013814,51.5085,51.5085,-0.12574,-0.12574,1866,1867,1,United Kingdom,United Kingdom,London,"London
",35
2013814,51.5085,57.1718,-0.12574,-2.40945,1867,1867,0,United Kingdom,United Kingdom,London,"Dunecht
",36
2013814,57.1718,42.3584,-2.40945,-71.0598,1887,1887,0,United Kingdom,United States,Dunecht,"Boston
",37
2013814,42.3584,42.3584,-71.0598,-71.0598,1903,1903,0,United States,United States,Boston,"Boston
",38
2141160,43.7793,42.8333,11.2463,12.8333,1481,1481,0,Italy,Italy,Florence,"NoInfo
",39
2141160,42.8333,52.2811,12.8333,-1.00095,1481,1792,311,Italy,United Kingdom,NoInfo,"Althorp
",40
2141160,52.2811,51.5085,-1.00095,-0.12574,1481,1757,276,United Kingdom,United Kingdom,Althorp,"London
",41
2141160,51.5085,51.5085,-0.12574,-0.12574,1829,1829,0,United Kingdom,United Kingdom,London,"London
",42
2141160,51.5085,51.5085,-0.12574,-0.12574,1829,1829,0,United Kingdom,United Kingdom,London,"London
",43
2141529,43.7793,50.0494,11.2463,10.2218,1481,1960,479,Italy,Germany,Florence,"Schweinfurt
",44
2141529,50.0494,40.7143,10.2218,-74.006,2000,1996,-4,Germany,United States,Schweinfurt,"New York
",45
2140753,43.7793,43.7936,11.2463,11.8203,1481,1854,373,Italy,Italy,Florence,"Camaldoli
",46
2140753,43.7936,43.7212,11.8203,11.7664,1856,1856,0,Italy,Italy,Camaldoli,"Poppi
",47
2140643,43.7793,42.8333,11.2463,12.8333,1481,1481,0,Italy,Italy,Florence,"NoInfo
",48
2140643,42.8333,42.8333,12.8333,12.8333,1500,1481,-19,Italy,Italy,NoInfo,"NoInfo
",49
2140643,42.8333,40.4244,12.8333,15.0798,1500,1481,-19,Italy,Italy,NoInfo,"Capaccio
",50
2140643,40.4244,41.9022,15.0798,12.4533,1504,1504,0,Italy,Vatican City,Capaccio,"Vatican City
",51
2140643,41.9022,48.8534,12.4533,2.3488,1504,1797,293,Vatican City,France,Vatican City,"Paris
",52
2140635,43.7793,42.8333,11.2463,12.8333,1481,1481,0,Italy,Italy,Florence,"NoInfo
",53
2140635,42.8333,42.8333,12.8333,12.8333,1500,1481,-19,Italy,Italy,NoInfo,"NoInfo
",54
2140635,42.8333,36.4356,12.8333,28.222,1500,1481,-19,Italy,Greece,NoInfo,"Rhodes
",55
2140635,36.4356,48.8534,28.222,2.3488,1503,1792,289,Greece,France,Rhodes,"Paris
",56
2140761,43.7793,42.8333,11.2463,12.8333,1481,1481,0,Italy,Italy,Florence,"NoInfo
",57
2140761,42.8333,42.8333,12.8333,12.8333,1600,1481,-119,Italy,Italy,NoInfo,"NoInfo
",58
2140761,42.8333,41.8919,12.8333,12.5113,1600,1481,-119,Italy,Italy,NoInfo,"Rome
",59
2140633,43.7793,42.8333,11.2463,12.8333,1481,1481,0,Italy,Italy,Florence,"NoInfo
",60
2140633,42.8333,42.8333,12.8333,12.8333,1500,1481,-19,Italy,Italy,NoInfo,"NoInfo
",61
2140633,42.8333,43.7793,12.8333,11.2463,1600,1601,1,Italy,Italy,NoInfo,"Florence
",62
2140633,43.7793,48.8534,11.2463,2.3488,1800,1818,18,Italy,France,Florence,"Paris
",63
2140985,43.7793,48.691,11.2463,9.14062,1481,1481,0,Italy,NoInfo,Florence,"Europe
",64
2140985,48.691,48.691,9.14062,9.14062,1550,1700,150,NoInfo,NoInfo,Europe,"NoInfo
",65
2140985,48.691,48.8534,9.14062,2.3488,1800,1845,45,NoInfo,France,NoInfo,"Paris
",66
2140985,48.8534,48.8534,2.3488,2.3488,1934,1935,1,France,France,Paris,"Paris
",67
2140771,43.7793,42.8333,11.2463,12.8333,1481,1481,0,Italy,Italy,Florence,"NoInfo
",68
2140771,42.8333,42.8333,12.8333,12.8333,1600,1481,-119,Italy,Italy,NoInfo,"NoInfo
",69
2140771,42.8333,43.7793,12.8333,11.2463,1600,1501,-99,Italy,Italy,NoInfo,"Florence
",70
2140771,43.7793,41.8919,11.2463,12.5113,1600,1754,154,Italy,Italy,Florence,"Rome
",71
2140771,41.8919,41.8919,12.5113,12.5113,1883,1883,0,Italy,Italy,Rome,"Rome
",72
2141568,43.7793,42.8333,11.2463,12.8333,1481,1481,0,Italy,Italy,Florence,"NoInfo
",73
2141568,42.8333,42.8333,12.8333,12.8333,1500,1481,-19,Italy,Italy,NoInfo,"NoInfo
",74
2141568,42.8333,43.7793,12.8333,11.2463,1600,1481,-119,Italy,Italy,NoInfo,"Florence
",75
2141568,43.7793,43.7793,11.2463,11.2463,1529,1794,265,Italy,Italy,Florence,"Florence
",76
2141568,43.7793,43.7793,11.2463,11.2463,1845,1805,-40,Italy,Italy,Florence,"Florence
",77
2141568,43.7793,43.7793,11.2463,11.2463,1868,1824,-44,Italy,Italy,Florence,"Florence
",78
2141568,43.7793,42.8333,11.2463,12.8333,1903,1949,46,Italy,Italy,Florence,"NoInfo
",79
2141271,43.7793,45.4643,11.2463,9.18951,1481,1481,0,Italy,Italy,Florence,"Milan
",80
2141271,45.4643,34.0522,9.18951,-118.244,1501,1963,462,Italy,United States,Milan,"Los Angeles
",81
2141268,43.7793,42.8333,11.2463,12.8333,1481,1481,0,Italy,Italy,Florence,"NoInfo
",82
2141268,42.8333,40.7143,12.8333,-74.006,1600,1921,321,Italy,United States,NoInfo,"New York
",83
2141268,40.7143,42.712,-74.006,-73.2037,1936,1923,-13,United States,United States,New York,"Williamstown
",84
2141017,43.7793,42.8333,11.2463,12.8333,1481,1601,120,Italy,Italy,Florence,"NoInfo
",85
2141017,42.8333,43.5443,12.8333,10.3261,1800,1711,-89,Italy,Italy,NoInfo,"Livorno
",86
2141017,43.5443,43.7793,10.3261,11.2463,1792,1792,0,Italy,Italy,Livorno,"Florence
",87
2141017,43.7793,43.7793,11.2463,11.2463,1810,1810,0,Italy,Italy,Florence,"Florence
",88
2141530,43.7793,42.8333,11.2463,12.8333,1481,1481,0,Italy,Italy,Florence,"NoInfo
",89
2141530,42.8333,45.4371,12.8333,12.3327,1500,1481,-19,Italy,Italy,NoInfo,"Venice
",90
2141530,45.4371,45.4371,12.3327,12.3327,1806,1807,1,Italy,Italy,Venice,"Venice
",91
2141555,43.7793,35.6854,11.2463,139.753,1481,1501,20,Italy,Japan,Florence,"NoInfo
",92
2141555,35.6854,-14.6048,139.753,-57.6562,1600,1850,250,Japan,United States,NoInfo,"NoInfo
",93
2141555,-14.6048,40.1106,-57.6562,-88.2073,1950,1965,15,United States,United States,NoInfo,"Urbana
",94
2140612,43.7793,42.8333,11.2463,12.8333,1481,1481,0,Italy,Italy,Florence,"NoInfo
",95
