group,variable,value,detail
Althorp,London,2,"2141160,2141553"
Althorp,New York,1,2141492
Amsterdam,Genoa,1,2140725
Athens,Athens,2,"2013851,2013774"
Augsburg,Augsburg,2,"2140726,2140726"
Baltimore,Baltimore,2,"2141622,2141620"
Barcelona,Barcelona,1,2140849
Barga,Livorno,1,2141048
Berlin,Berlin,2,"2141599,2141629"
Besançon,Besançon,1,2141004
Bibbiena,Figline Valdarno,1,2141016
Blenheim Palace,Cambridge,1,2141350
Bologna,Bologna,1,2140686
Bologna,Cambridge,1,2141204
Boston,Boston,1,2013814
Boston,Cambridge,3,"2141263,2141192,201623"
Brunswick,Brunswick,1,2141630
Brussels,Castiglione,1,2141406
Camaldoli,Poppi,1,2140753
Cambridge,Boston,1,2141192
Cambridge,Cambridge,3,"2141466,2141192,2141204"
Cambridge,NoInfo,1,2141251
Cambrils,Barcelona,1,2140849
Capaccio,Vatican City,1,2140643
Carpentras,Carpentras,1,2140623
Charlottesville,Fratta Polesine,1,2141280
Chiusa di Pesio,London,1,2141491
Cincinnati,Chicago,1,2141270
Copenhagen,Copenhagen,1,2140616
Crowan,Cambridge,1,2141143
Dresden,Dresden,5,"2141600,2142781,2142781,2141122,2141122"
Dresden,Hanover,1,2141588
Dresden,Leipzig,1,2140828
Dresden,Moscow,2,"2142781,2142777"
Dunecht,Boston,1,2013814
East of England,Vienna,1,2141588
Edensor,Chatsworth House,1,2141148
Edinburgh,Edinburgh,1,2141082
England,Boston,1,201623
Europe,Florence,1,2141204
Europe,NoInfo,4,"2140985,2140623,2141627,2141148"
Europe,Sudbury,1,2141280
Euston,London,1,2013814
Florence,Baltimore,2,"2141622,2141620"
Florence,Besançon,1,2141004
Florence,Bloomington,1,2141440
Florence,Bologna,1,2141204
Florence,Camaldoli,1,2140753
Florence,Cambridge,1,2141466
Florence,Claremont,1,2141267
Florence,Copenhagen,1,2140616
Florence,Dresden,4,"2141600,2141601,2142781,2142777"
Florence,Edinburgh,1,2141082
Florence,Europe,5,"2140985,2140623,2141627,2141148,2141204"
Florence,Florence,47,"2141376,2141376,2141444,2141568,2141568,2141568,2141017,2141250,2140701,2140701,2140701,2141556,2141620,2140711,2141037,2141037,2140741,2140648,2141557,2141557,2140856,2142781,2140676,2140676,2140676,2141147,2141099,2141204,2141553,2140686,2141596,2140704,2140704,2140704,2141035,2141035,2140738,2140700,2140700,2140703,2140703,2141098,2011395,2141034,2140702,2140702,2141122"
Florence,Genoa,1,2141340
Florence,Hamburg,1,2140668
Florence,Italy,4,"2013851,2141554,2128758,201623"
Florence,Ithaca,1,2141439
Florence,Koper,1,2016450
Florence,Liège,1,2140943
Florence,London,5,"2141489,2001008,2140856,2142782,2141147"
Florence,Marseille,1,2141739
Florence,Milan,2,"2141271,2141280"
Florence,Munich,1,2141598
Florence,Nancy,1,2140676
Florence,Naples,3,"2141625,2140750,2141492"
Florence,Narford,1,2145052
Florence,New Haven,1,2141558
Florence,NoInfo,116,"2140781,2141406,2019494,2141444,2013814,2141160,2140643,2140635,2140761,2140633,2140771,2141568,2141568,2141268,2141017,2141530,2141555,2140612,2140613,2141605,2007303,2141180,2141614,2141350,2141622,2141433,2141428,2140745,2141630,2140711,2141037,2126770,2140741,2141490,2141263,2141270,2141186,2141186,2140632,2141599,2141629,2141643,2140783,2140795,2141192,2140648,2144949,2141557,2001009,2140784,2141086,2141603,2141143,2140676,2142772,2142772,2001010,559810,2140828,2141491,2140991,2138497,2129250,2141115,2013774,2140739,2141240,2140723,2140988,2140752,2140687,2117472,2141109,2141099,2141102,2141016,2141110,2141427,2141456,2140731,2141434,2145052,2140776,2141400,2140685,2140732,2141029,2141588,2141168,2140634,2141251,2140686,2141596,2140704,2141035,2140738,2141048,2140700,2140703,2141082,2141097,2140725,2140849,2141338,2140675,2140751,2140709,2140855,2140855,2140770,2141108,2011395,2141034,2140702,2141122,2140726"
Florence,Oswestry,1,2141554
Florence,Paris,6,"2140633,2140994,2141738,2141737,2144952,2140961"
Florence,Poppi,1,2140760
Florence,Providence,1,2141203
Florence,Queensferry,1,2141227
Florence,Ravenna,1,2141029
Florence,Rome,1,2140771
Florence,San Gimignano,1,2141250
Florence,Sassari,1,2141098
Florence,Schweinfurt,1,2141529
Florence,Siena,1,2140784
Florence,St Petersburg,1,2140829
Florence,Treia,1,2141556
Florence,Venice,5,"2011876,2140630,2016450,2141191,2001011"
Florence,Verona,1,2141099
Florence,Vienna,1,2141717
Florence,Zurich,1,2130036
Fosbury,London,1,2129250
Frankfurt am Main,NoInfo,1,2141097
Fratta Polesine,Stanford,1,2141280
Gemeente Den Haag,Gemeente Den Haag,1,2138497
Genoa,Genoa,2,"2140723,2140725"
Glasgow,Glasgow,3,"2141240,2141240,2141240"
Hamburg,Hamburg,1,2140994
Hanover,East of England,1,2141588
Iecava,Riga,1,2141102
Italy,Boston,1,2141192
Italy,Florence,1,2141554
Italy,Italy,1,2128758
Italy,New York,1,2128758
Italy,NoInfo,1,2013851
Italy,Venice,1,201623
Jenkintown,Washington,1,2141489
Kew,London,1,559810
Koper,NoInfo,1,2016450
