group,variable,value
15.0,201623,0
15.0,559810,0
15.0,2001008,0
15.0,2001009,0
15.0,2001010,0
15.0,2001011,0
15.0,2007303,0
15.0,2011395,0
15.0,2011876,0
15.0,2013774,0
15.0,2013814,0
15.0,2013851,0
15.0,2016450,0
15.0,2019494,0
15.0,2117472,0
15.0,2126770,0
15.0,2128758,0
15.0,2129250,0
15.0,2130036,0
15.0,2138497,0
15.0,2140612,0
15.0,2140613,0
15.0,2140616,0
15.0,2140623,0
15.0,2140630,0
15.0,2140632,0
15.0,2140633,0
15.0,2140634,0
15.0,2140635,0
15.0,2140643,0
15.0,2140648,0
15.0,2140668,0
15.0,2140675,0
15.0,2140676,0
15.0,2140685,0
15.0,2140686,0
15.0,2140687,0
15.0,2140700,0
15.0,2140701,0
15.0,2140702,0
15.0,2140703,0
15.0,2140704,0
15.0,2140709,0
15.0,2140711,0
15.0,2140723,0
15.0,2140725,0
15.0,2140726,0
15.0,2140731,0
15.0,2140732,0
15.0,2140738,0
15.0,2140739,0
15.0,2140741,0
15.0,2140745,0
15.0,2140750,0
15.0,2140751,0
15.0,2140752,0
15.0,2140753,0
15.0,2140760,0
15.0,2140761,0
15.0,2140770,0
15.0,2140771,0
15.0,2140776,0
15.0,2140781,0
15.0,2140783,0
15.0,2140784,0
15.0,2140795,0
15.0,2140828,0
15.0,2140829,0
15.0,2140849,0
15.0,2140855,0
15.0,2140856,0
15.0,2140943,0
15.0,2140961,0
15.0,2140985,0
15.0,2140988,0
15.0,2140991,0
15.0,2140994,0
15.0,2141004,0
15.0,2141016,0
15.0,2141017,0
15.0,2141029,0
15.0,2141034,0
15.0,2141035,0
15.0,2141037,0
15.0,2141048,0
15.0,2141082,0
15.0,2141086,0
15.0,2141097,0
15.0,2141098,0
15.0,2141099,0
15.0,2141102,0
15.0,2141108,0
15.0,2141109,0
15.0,2141110,0
15.0,2141115,0
15.0,2141122,0
15.0,2141143,0
15.0,2141147,0
15.0,2141148,0
15.0,2141160,0
15.0,2141168,0
15.0,2141180,0
15.0,2141186,0
15.0,2141191,0
15.0,2141192,0
15.0,2141203,0
15.0,2141204,0
15.0,2141227,0
15.0,2141240,0
15.0,2141250,0
15.0,2141251,0
15.0,2141263,0
15.0,2141267,0
15.0,2141268,0
15.0,2141270,0
15.0,2141271,0
15.0,2141280,0
15.0,2141338,0
15.0,2141340,0
15.0,2141350,0
15.0,2141376,0
15.0,2141400,0
15.0,2141406,0
15.0,2141427,0
15.0,2141428,0
15.0,2141433,0
15.0,2141434,0
15.0,2141439,0
15.0,2141440,0
15.0,2141444,0
15.0,2141456,0
15.0,2141466,0
15.0,2141489,0
15.0,2141490,0
15.0,2141491,0
15.0,2141492,0
15.0,2141529,0
15.0,2141530,0
15.0,2141553,0
15.0,2141554,0
15.0,2141555,0
15.0,2141556,0
15.0,2141557,0
15.0,2141558,0
15.0,2141568,0
15.0,2141588,0
15.0,2141596,0
15.0,2141598,0
15.0,2141599,0
15.0,2141600,0
15.0,2141601,0
15.0,2141603,0
15.0,2141605,0
15.0,2141614,0
15.0,2141620,0
15.0,2141622,0
15.0,2141625,0
15.0,2141627,0
15.0,2141629,0
15.0,2141630,0
15.0,2141643,0
15.0,2141717,0
15.0,2141737,0
15.0,2141738,0
15.0,2141739,0
15.0,2141741,0
15.0,2142772,0
15.0,2142777,0
15.0,2142781,0
15.0,2142782,0
15.0,2144949,0
15.0,2144952,0
15.0,2145052,0
15.5,201623,2
15.5,559810,2
15.5,2001008,1
15.5,2001009,2
15.5,2001010,1
15.5,2001011,1
15.5,2007303,1
15.5,2011395,1
15.5,2011876,1
15.5,2013774,2
15.5,2013814,2
15.5,2013851,1
15.5,2016450,3
15.5,2019494,1
15.5,2117472,2
15.5,2126770,5
