group,variable,value
201623,Althorp,0
201623,Amsterdam,0
201623,Arezzo,0
201623,Athens,0
201623,Augsburg,0
201623,Baltimore,0
201623,Barcelona,0
201623,Barga,0
201623,Berlin,0
201623,Besançon,0
201623,Bibbiena,0
201623,Blenheim Palace,0
201623,Bloomington,0
201623,Bologna,0
201623,Boston,1
201623,Brunswick,0
201623,Brussels,0
201623,Camaldoli,0
201623,Cambridge,1
201623,Cambrils,0
201623,Capaccio,0
201623,Carpentras,0
201623,Castiglione,0
201623,Charlottesville,0
201623,Chatsworth House,0
201623,Chicago,0
201623,Chiusa di Pesio,0
201623,Cincinnati,0
201623,Claremont,0
201623,Cologne,0
201623,Cologny,0
201623,Copenhagen,0
201623,Crowan,0
201623,Dresden,0
201623,Dunecht,0
201623,East of England,0
201623,Edensor,0
201623,Edinburgh,0
201623,England,1
201623,Europe,0
201623,Euston,0
201623,Figline Valdarno,0
201623,Florence,1
201623,Fosbury,0
201623,Frankfurt am Main,0
201623,Fratta Polesine,0
201623,Gemeente Amsterdam,0
201623,Gemeente Den Haag,0
201623,Geneva,0
201623,Genoa,0
201623,Glasgow,0
201623,Hamburg,0
201623,Hanover,0
201623,Iecava,0
201623,Italy,1
201623,Ithaca,0
201623,Jenkintown,0
201623,Kew,0
201623,Koper,0
201623,Latrobe,0
201623,Leipzig,0
201623,Livorno,0
201623,Liège,0
201623,London,0
201623,Los Angeles,0
201623,Lucca,0
201623,Ludwigsburg,0
201623,Lviv,0
201623,Maldon,0
201623,Manchester,0
201623,Marseille,0
201623,Merthyr Mawr,1
201623,Middletown,0
201623,Milan,0
201623,Minsk,0
201623,Modena,0
201623,Moscow,0
201623,Munich,0
201623,Mönchengladbach,0
201623,Nancy,0
201623,Naples,0
201623,Narford,0
201623,New Haven,0
201623,New Rochelle,0
201623,New York,0
201623,Newport,0
201623,NoInfo,0
201623,Novara,0
201623,Oakland,0
201623,Oswestry,0
201623,Oxford,0
201623,Palermo,0
201623,Paris,0
201623,Parma,0
201623,Pavia,0
201623,Pisa,0
201623,Poppi,0
201623,Prato,0
201623,Princeton,0
201623,Providence,0
201623,Queensferry,0
201623,Ravenna,0
201623,Rhodes,0
201623,Riga,0
201623,Rio de Janeiro,0
201623,Rome,0
201623,San Casciano in Val di Pesa,0
201623,San Gimignano,0
201623,San Marino,0
201623,Santiago de Compostela,0
201623,Sassari,0
201623,Savona,0
201623,Schweinfurt,0
201623,Siena,0
201623,Skirling,0
201623,Sonning,0
201623,South Hadley,0
201623,St Petersburg,0
201623,Stanford,0
201623,Stowe,0
201623,Stuttgart,0
201623,Sudbury,0
201623,Thenford,0
201623,Tokyo,0
201623,Tours,0
201623,Treia,0
201623,Treviso,0
201623,Trieste,0
201623,Trivignano,0
201623,Turin,0
201623,University of Notre Dame,0
201623,Uppsala,0
201623,Urbana,0
201623,Vatican City,0
201623,Venice,1
201623,Verona,0
201623,Vienna,0
201623,Washington,0
201623,Wellesley,0
201623,Williamstown,0
201623,Woodstock,0
201623,Worcester,0
201623,Wroclaw,0
201623,Zurich,0
559810,Althorp,0
559810,Amsterdam,0
559810,Arezzo,0
559810,Athens,0
559810,Augsburg,0
559810,Baltimore,0
559810,Barcelona,0
559810,Barga,0
559810,Berlin,0
559810,Besançon,0
559810,Bibbiena,0
559810,Blenheim Palace,0
559810,Bloomington,0
559810,Bologna,0
559810,Boston,0
559810,Brunswick,0
559810,Brussels,0
559810,Camaldoli,0
559810,Cambridge,1
559810,Cambrils,0
559810,Capaccio,0
559810,Carpentras,0
559810,Castiglione,0
559810,Charlottesville,0
559810,Chatsworth House,0
559810,Chicago,0
559810,Chiusa di Pesio,0
559810,Cincinnati,0
559810,Claremont,0
559810,Cologne,0
559810,Cologny,0
559810,Copenhagen,0
559810,Crowan,0
559810,Dresden,0
559810,Dunecht,0
559810,East of England,0
