variable,group,value
201623,Austria,0
201623,Belarus,0
201623,Belgium,0
201623,Brazil,0
201623,Denmark,0
201623,France,0
201623,Germany,0
201623,Greece,0
201623,Italy,3
201623,Japan,0
201623,Latvia,0
201623,Netherlands,0
201623,NoInfo,0
201623,Poland,0
201623,Russia,0
201623,Slovenia,0
201623,Spain,0
201623,Sweden,0
201623,Switzerland,0
201623,Ukraine,0
201623,United Kingdom,2
201623,United States,2
201623,Vatican City,0
559810,Austria,0
559810,Belarus,0
559810,Belgium,0
559810,Brazil,0
559810,Denmark,0
559810,France,0
559810,Germany,0
559810,Greece,0
559810,Italy,2
559810,Japan,0
559810,Latvia,0
559810,Netherlands,0
559810,NoInfo,0
559810,Poland,0
559810,Russia,0
559810,Slovenia,0
559810,Spain,0
559810,Sweden,0
559810,Switzerland,0
559810,Ukraine,0
559810,United Kingdom,4
559810,United States,0
559810,Vatican City,0
2001008,Austria,0
2001008,Belarus,0
2001008,Belgium,0
2001008,Brazil,0
2001008,Denmark,0
2001008,France,0
2001008,Germany,0
2001008,Greece,0
2001008,Italy,1
2001008,Japan,0
2001008,Latvia,0
2001008,Netherlands,0
2001008,NoInfo,0
2001008,Poland,0
2001008,Russia,0
2001008,Slovenia,0
2001008,Spain,0
2001008,Sweden,0
2001008,Switzerland,0
2001008,Ukraine,0
2001008,United Kingdom,2
2001008,United States,0
2001008,Vatican City,0
2001009,Austria,0
2001009,Belarus,0
2001009,Belgium,0
2001009,Brazil,0
2001009,Denmark,0
2001009,France,0
2001009,Germany,0
2001009,Greece,0
2001009,Italy,3
2001009,Japan,0
2001009,Latvia,0
2001009,Netherlands,0
2001009,NoInfo,0
2001009,Poland,0
2001009,Russia,0
2001009,Slovenia,0
2001009,Spain,0
2001009,Sweden,0
2001009,Switzerland,0
2001009,Ukraine,0
2001009,United Kingdom,1
2001009,United States,0
2001009,Vatican City,0
2001010,Austria,0
2001010,Belarus,0
2001010,Belgium,0
2001010,Brazil,0
2001010,Denmark,0
2001010,France,0
2001010,Germany,0
2001010,Greece,0
2001010,Italy,1
2001010,Japan,0
2001010,Latvia,0
2001010,Netherlands,0
2001010,NoInfo,0
2001010,Poland,0
2001010,Russia,0
2001010,Slovenia,0
2001010,Spain,0
2001010,Sweden,0
2001010,Switzerland,0
2001010,Ukraine,0
2001010,United Kingdom,3
2001010,United States,0
2001010,Vatican City,0
2001011,Austria,0
2001011,Belarus,0
2001011,Belgium,0
2001011,Brazil,0
2001011,Denmark,0
2001011,France,0
2001011,Germany,0
2001011,Greece,0
2001011,Italy,2
2001011,Japan,0
2001011,Latvia,0
2001011,Netherlands,0
2001011,NoInfo,0
2001011,Poland,0
2001011,Russia,0
2001011,Slovenia,0
2001011,Spain,0
2001011,Sweden,0
2001011,Switzerland,0
2001011,Ukraine,0
2001011,United Kingdom,2
2001011,United States,0
2001011,Vatican City,0
2007303,Austria,0
2007303,Belarus,0
2007303,Belgium,0
2007303,Brazil,0
2007303,Denmark,0
2007303,France,0
2007303,Germany,0
2007303,Greece,0
2007303,Italy,8
2007303,Japan,0
2007303,Latvia,0
2007303,Netherlands,0
2007303,NoInfo,0
2007303,Poland,0
2007303,Russia,0
2007303,Slovenia,0
2007303,Spain,0
2007303,Sweden,0
2007303,Switzerland,0
2007303,Ukraine,0
2007303,United Kingdom,0
2007303,United States,0
2007303,Vatican City,0
2011395,Austria,0
2011395,Belarus,0
2011395,Belgium,0
2011395,Brazil,0
2011395,Denmark,0
2011395,France,0
2011395,Germany,0
2011395,Greece,0
2011395,Italy,4
2011395,Japan,0
2011395,Latvia,0
2011395,Netherlands,0
2011395,NoInfo,2
2011395,Poland,0
2011395,Russia,0
2011395,Slovenia,0
2011395,Spain,0
2011395,Sweden,0
2011395,Switzerland,0
2011395,Ukraine,0
2011395,United Kingdom,0
2011395,United States,0
2011395,Vatican City,0
2011876,Austria,0
2011876,Belarus,0
2011876,Belgium,0
2011876,Brazil,0
2011876,Denmark,0
2011876,France,1
2011876,Germany,0
2011876,Greece,0
2011876,Italy,3
2011876,Japan,0
2011876,Latvia,0
2011876,Netherlands,0
2011876,NoInfo,0
2011876,Poland,0
2011876,Russia,0
2011876,Slovenia,0
2011876,Spain,0
2011876,Sweden,0
2011876,Switzerland,0
2011876,Ukraine,0
2011876,United Kingdom,0
2011876,United States,0
2011876,Vatican City,0
2013774,Austria,0
2013774,Belarus,0
2013774,Belgium,0
2013774,Brazil,0
2013774,Denmark,0
2013774,France,0
2013774,Germany,0
2013774,Greece,2
2013774,Italy,1
2013774,Japan,0
2013774,Latvia,0
2013774,Netherlands,0
2013774,NoInfo,4
2013774,Poland,0
2013774,Russia,0
2013774,Slovenia,0
2013774,Spain,0
2013774,Sweden,0
2013774,Switzerland,0
2013774,Ukraine,0
2013774,United Kingdom,4
2013774,United States,2
2013774,Vatican City,0
2013814,Austria,0
2013814,Belarus,0
2013814,Belgium,0
2013814,Brazil,0
2013814,Denmark,0
2013814,France,0
2013814,Germany,0
2013814,Greece,0
2013814,Italy,2
2013814,Japan,0
2013814,Latvia,0
2013814,Netherlands,0
2013814,NoInfo,0
2013814,Poland,0
2013814,Russia,0
2013814,Slovenia,0
2013814,Spain,0
2013814,Sweden,0
2013814,Switzerland,0
2013814,Ukraine,0
2013814,United Kingdom,5
2013814,United States,2
2013814,Vatican City,0
2013851,Austria,0
2013851,Belarus,0
2013851,Belgium,0
2013851,Brazil,0
2013851,Denmark,0
2013851,France,0
2013851,Germany,0
2013851,Greece,2
2013851,Italy,2
2013851,Japan,0
2013851,Latvia,0
2013851,Netherlands,0
2013851,NoInfo,1
2013851,Poland,0
2013851,Russia,0
2013851,Slovenia,0
2013851,Spain,0
2013851,Sweden,0
2013851,Switzerland,0
2013851,Ukraine,0
2013851,United Kingdom,2
2013851,United States,0
2013851,Vatican City,0
2016450,Austria,0
2016450,Belarus,0
2016450,Belgium,0
2016450,Brazil,0
2016450,Denmark,0
2016450,France,0
2016450,Germany,0
2016450,Greece,0
2016450,Italy,6
2016450,Japan,0
2016450,Latvia,0
2016450,Netherlands,0
2016450,NoInfo,0
2016450,Poland,0
2016450,Russia,0
2016450,Slovenia,1
2016450,Spain,0
2016450,Sweden,0
2016450,Switzerland,0
2016450,Ukraine,0
2016450,United Kingdom,0
2016450,United States,0
2016450,Vatican City,0
2019494,Austria,0
2019494,Belarus,0
2019494,Belgium,0
2019494,Brazil,0
2019494,Denmark,0
2019494,France,0
2019494,Germany,0
2019494,Greece,0
2019494,Italy,2
2019494,Japan,0
2019494,Latvia,0
2019494,Netherlands,0
2019494,NoInfo,2
2019494,Poland,0
2019494,Russia,0
2019494,Slovenia,0
2019494,Spain,0
2019494,Sweden,0
2019494,Switzerland,0
2019494,Ukraine,0
2019494,United Kingdom,0
2019494,United States,0
2019494,Vatican City,0
2117472,Austria,1
2117472,Belarus,0
2117472,Belgium,0
2117472,Brazil,0
2117472,Denmark,0
2117472,France,0
2117472,Germany,0
2117472,Greece,0
2117472,Italy,2
2117472,Japan,0
2117472,Latvia,0
2117472,Netherlands,0
2117472,NoInfo,0
2117472,Poland,0
2117472,Russia,0
2117472,Slovenia,0
2117472,Spain,0
2117472,Sweden,0
2117472,Switzerland,0
2117472,Ukraine,0
2117472,United Kingdom,0
2117472,United States,0
2117472,Vatican City,0
2126770,Austria,0
2126770,Belarus,0
2126770,Belgium,0
2126770,Brazil,0
2126770,Denmark,0
2126770,France,0
2126770,Germany,0
2126770,Greece,0
2126770,Italy,4
2126770,Japan,0
2126770,Latvia,0
2126770,Netherlands,0
2126770,NoInfo,4
2126770,Poland,0
2126770,Russia,0
2126770,Slovenia,0
2126770,Spain,0
2126770,Sweden,0
2126770,Switzerland,0
2126770,Ukraine,0
2126770,United Kingdom,5
2126770,United States,1
2126770,Vatican City,0
2128758,Austria,0
2128758,Belarus,0
2128758,Belgium,0
2128758,Brazil,0
2128758,Denmark,0
2128758,France,0
2128758,Germany,0
2128758,Greece,0
2128758,Italy,3
2128758,Japan,0
2128758,Latvia,0
2128758,Netherlands,0
2128758,NoInfo,0
2128758,Poland,0
2128758,Russia,0
2128758,Slovenia,0
2128758,Spain,0
2128758,Sweden,0
2128758,Switzerland,0
2128758,Ukraine,0
2128758,United Kingdom,0
2128758,United States,3
2128758,Vatican City,0
2129250,Austria,0
2129250,Belarus,0
2129250,Belgium,0
2129250,Brazil,0
2129250,Denmark,0
2129250,France,0
2129250,Germany,0
2129250,Greece,0
2129250,Italy,2
2129250,Japan,0
2129250,Latvia,0
2129250,Netherlands,0
2129250,NoInfo,0
2129250,Poland,0
2129250,Russia,0
2129250,Slovenia,0
2129250,Spain,0
2129250,Sweden,0
2129250,Switzerland,0
2129250,Ukraine,0
2129250,United Kingdom,5
2129250,United States,2
2129250,Vatican City,0
2130036,Austria,0
2130036,Belarus,0
2130036,Belgium,0
2130036,Brazil,0
2130036,Denmark,0
2130036,France,0
