Id,prov_ij,startCoor,endCoor,startCentury,endCentury,startCountry,endCountry
2130036,1,"[43.77925, 11.246260000000001]","[47.36667, 8.55]",15,15,Italy,Switzerland
2011876,1,"[43.77925, 11.246260000000001]","[45.4389, 12.330919999999999]",15,15,Italy,Italy
2011876,2,"[45.4389, 12.330919999999999]","[45.4389, 12.330919999999999]",18,18,Italy,Italy
2011876,3,"[45.4389, 12.330919999999999]","[48.85341, 2.3488]",18,18,Italy,France
2013851,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,16,Italy,Italy
2013851,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",16,18,Italy,NoInfo
2013851,3,"[42.83333, 12.83333]","[51.7311, 0.6746300000000001]",19,20,NoInfo,United Kingdom
2013851,4,"[51.7311, 0.6746300000000001]","[51.50853, -0.12574000000000002]",20,20,United Kingdom,United Kingdom
2013851,5,"[51.50853, -0.12574000000000002]","[37.98376, 23.72784]",21,21,United Kingdom,Greece
2013851,6,"[37.98376, 23.72784]","[37.98376, 23.72784]",21,21,Greece,Greece
2141340,1,"[43.77925, 11.246260000000001]","[44.40478, 8.94439]",15,18,Italy,Italy
2140781,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2140781,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",16,17,Italy,Italy
2140781,3,"[42.83333, 12.83333]","[42.83333, 12.83333]",18,18,Italy,NoInfo
2140781,4,"[42.83333, 12.83333]","[43.77925, 11.246260000000001]",18,18,NoInfo,Italy
2141376,1,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",15,19,Italy,Italy
2141376,2,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",20,20,Italy,Italy
2141406,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2141406,2,"[42.83333, 12.83333]","[50.85045, 4.3487800000000005]",17,19,Italy,Belgium
2141406,3,"[50.85045, 4.3487800000000005]","[44.29546, 9.99271]",19,20,Belgium,Italy
2019494,1,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",15,16,Italy,NoInfo
2019494,2,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",16,16,NoInfo,NoInfo
2019494,3,"[43.77925, 11.246260000000001]","[45.46427, 9.18951]",16,18,NoInfo,Italy
2141444,1,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",15,15,Italy,Italy
2141444,2,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2141444,3,"[42.83333, 12.83333]","[42.83333, 12.83333]",16,15,Italy,Italy
2141444,4,"[42.83333, 12.83333]","[42.83333, 12.83333]",16,16,Italy,Italy
2141444,5,"[42.83333, 12.83333]","[38.13205, 13.33561]",16,18,Italy,Italy
2141466,1,"[43.77925, 11.246260000000001]","[42.3751, -71.10561]",15,20,Italy,United States
2141466,2,"[42.3751, -71.10561]","[42.3751, -71.10561]",20,20,United States,United States
2013814,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2013814,2,"[42.83333, 12.83333]","[52.37924, 0.78599]",15,18,Italy,United Kingdom
2013814,3,"[52.37924, 0.78599]","[51.50853, -0.12574000000000002]",19,19,United Kingdom,United Kingdom
2013814,4,"[51.50853, -0.12574000000000002]","[51.50853, -0.12574000000000002]",19,19,United Kingdom,United Kingdom
2013814,5,"[51.50853, -0.12574000000000002]","[51.50853, -0.12574000000000002]",19,19,United Kingdom,United Kingdom
2013814,6,"[51.50853, -0.12574000000000002]","[57.1718, -2.40945]",19,19,United Kingdom,United Kingdom
2013814,7,"[57.1718, -2.40945]","[42.35843, -71.05977]",19,19,United Kingdom,United States
2013814,8,"[42.35843, -71.05977]","[42.35843, -71.05977]",20,20,United States,United States
2141160,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2141160,2,"[42.83333, 12.83333]","[52.28107, -1.00095]",15,18,Italy,United Kingdom
2141160,3,"[52.28107, -1.00095]","[51.50853, -0.12574000000000002]",15,18,United Kingdom,United Kingdom
2141160,4,"[51.50853, -0.12574000000000002]","[51.50853, -0.12574000000000002]",19,19,United Kingdom,United Kingdom
2141160,5,"[51.50853, -0.12574000000000002]","[51.50853, -0.12574000000000002]",19,19,United Kingdom,United Kingdom
2141529,1,"[43.77925, 11.246260000000001]","[50.04937, 10.22175]",15,20,Italy,Germany
2141529,2,"[50.04937, 10.22175]","[40.71427, -74.00596999999999]",20,20,Germany,United States
2140753,1,"[43.77925, 11.246260000000001]","[43.79359, 11.820310000000001]",15,19,Italy,Italy
2140753,2,"[43.79359, 11.820310000000001]","[43.72123, 11.76642]",19,19,Italy,Italy
2140643,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2140643,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",15,15,Italy,Italy
2140643,3,"[42.83333, 12.83333]","[40.42435, 15.07981]",15,15,Italy,Italy
2140643,4,"[40.42435, 15.07981]","[41.90225, 12.4533]",16,16,Italy,Vatican City
2140643,5,"[41.90225, 12.4533]","[48.85341, 2.3488]",16,18,Vatican City,France
2140635,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2140635,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",15,15,Italy,Italy
2140635,3,"[42.83333, 12.83333]","[36.435559999999995, 28.22199]",15,15,Italy,Greece
2140635,4,"[36.435559999999995, 28.22199]","[48.85341, 2.3488]",16,18,Greece,France
2140761,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2140761,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",16,15,Italy,Italy
2140761,3,"[42.83333, 12.83333]","[41.89193, 12.511330000000001]",16,15,Italy,Italy
2140633,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2140633,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",15,15,Italy,Italy
2140633,3,"[42.83333, 12.83333]","[43.77925, 11.246260000000001]",16,17,Italy,Italy
2140633,4,"[43.77925, 11.246260000000001]","[48.85341, 2.3488]",18,19,Italy,France
2140985,1,"[43.77925, 11.246260000000001]","[48.69096, 9.14062]",15,15,Italy,NoInfo
2140985,2,"[48.69096, 9.14062]","[48.69096, 9.14062]",16,17,NoInfo,NoInfo
2140985,3,"[48.69096, 9.14062]","[48.85341, 2.3488]",18,19,NoInfo,France
2140985,4,"[48.85341, 2.3488]","[48.85341, 2.3488]",20,20,France,France
2140771,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2140771,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",16,15,Italy,Italy
2140771,3,"[42.83333, 12.83333]","[43.77925, 11.246260000000001]",16,16,Italy,Italy
2140771,4,"[43.77925, 11.246260000000001]","[41.89193, 12.511330000000001]",16,18,Italy,Italy
2140771,5,"[41.89193, 12.511330000000001]","[41.89193, 12.511330000000001]",19,19,Italy,Italy
2141568,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2141568,2,"[42.83333, 12.83333]","[42.83333, 12.83333]",15,15,Italy,Italy
2141568,3,"[42.83333, 12.83333]","[43.77925, 11.246260000000001]",16,15,Italy,Italy
2141568,4,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",16,18,Italy,Italy
2141568,5,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",19,19,Italy,Italy
2141568,6,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",19,19,Italy,Italy
2141568,7,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",20,20,Italy,Italy
2141271,1,"[43.77925, 11.246260000000001]","[45.46427, 9.18951]",15,15,Italy,Italy
2141271,2,"[45.46427, 9.18951]","[34.05223, -118.24368]",16,20,Italy,United States
2141268,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
2141268,2,"[42.83333, 12.83333]","[40.71427, -74.00596999999999]",16,20,Italy,United States
2141268,3,"[40.71427, -74.00596999999999]","[42.71202, -73.20371999999999]",20,20,United States,United States
2141017,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,17,Italy,Italy
2141017,2,"[42.83333, 12.83333]","[43.544270000000004, 10.32615]",18,18,Italy,Italy
2141017,3,"[43.544270000000004, 10.32615]","[43.77925, 11.246260000000001]",18,18,Italy,Italy
2141017,4,"[43.77925, 11.246260000000001]","[43.77925, 11.246260000000001]",19,19,Italy,Italy
2141530,1,"[43.77925, 11.246260000000001]","[42.83333, 12.83333]",15,15,Italy,Italy
